TransactionID,PassengerName,FlightNumber,DepartureAirport,ArrivalAirport,DepartureDate,ArrivalDate,TicketPrice,BookingDate,Status,LastVisited
1,Alice Johnson,DL789,LAX,DXB,2023-01-01 00:00:00,2023-01-02 00:00:00,862.51,2022-01-01 00:00:00,Success,2023-01-01 00:00:00
2,Bob Brown,BA456,LAX,CDG,2023-01-01 01:00:00,2023-01-02 01:00:00,545.07,2022-01-01 01:00:00,Paid,2023-01-01 00:01:00
3,John Doe,DL789,ORD,HND,2023-01-01 02:00:00,2023-01-02 02:00:00,275.92,2022-01-01 02:00:00,Success,2023-01-01 00:02:00
4,Alice Johnson,UA321,JFK,HND,2023-01-01 03:00:00,2023-01-02 03:00:00,762.98,2022-01-01 03:00:00,Pending,2023-01-01 00:03:00
5,Alice Johnson,UA321,ATL,LHR,2023-01-01 04:00:00,2023-01-02 04:00:00,476.81,2022-01-01 04:00:00,Pending,2023-01-01 00:04:00
6,Bob Brown,AA123,ATL,LHR,2023-01-01 05:00:00,2023-01-02 05:00:00,635.16,2022-01-01 05:00:00,Pending,2023-01-01 00:05:00
7,John Doe,DL789,ORD,CDG,2023-01-01 06:00:00,2023-01-02 06:00:00,196.54,2022-01-01 06:00:00,Pending,2023-01-01 00:06:00
8,John Doe,BA456,ORD,CDG,2023-01-01 07:00:00,2023-01-02 07:00:00,668.43,2022-01-01 07:00:00,Success,2023-01-01 00:07:00
9,Alice Johnson,BA456,ATL,HND,2023-01-01 08:00:00,2023-01-02 08:00:00,436.2,2022-01-01 08:00:00,Pending,2023-01-01 00:08:00
10,Jane Smith,UA321,ATL,DXB,2023-01-01 09:00:00,2023-01-02 09:00:00,400.77,2022-01-01 09:00:00,Pending,2023-01-01 00:09:00
11,Alice Johnson,DL789,JFK,DXB,2023-01-01 10:00:00,2023-01-02 10:00:00,981.92,2022-01-01 10:00:00,Pending,2023-01-01 00:10:00
12,Alice Johnson,BA456,ORD,CDG,2023-01-01 11:00:00,2023-01-02 11:00:00,489.19,2022-01-01 11:00:00,Paid,2023-01-01 00:11:00
13,Alice Johnson,DL789,JFK,CDG,2023-01-01 12:00:00,2023-01-02 12:00:00,710.23,2022-01-01 12:00:00,Paid,2023-01-01 00:12:00
14,Alice Johnson,DL789,ORD,CDG,2023-01-01 13:00:00,2023-01-02 13:00:00,664.95,2022-01-01 13:00:00,Success,2023-01-01 00:13:00
15,Bob Brown,AA123,ORD,LHR,2023-01-01 14:00:00,2023-01-02 14:00:00,193.87,2022-01-01 14:00:00,Pending,2023-01-01 00:14:00
